severity,type,url,detail
"P1","thin_page","https://docs.oviond.com/api/projects/delete-project","35 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/projects/delete-project","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/projects/duplicate-project","38 words"
"P1","thin_page","https://docs.oviond.com/api/projects/get-project","34 words"
"P1","thin_page","https://docs.oviond.com/api/projects/list-all-projects","38 words"
"P1","thin_page","https://docs.oviond.com/api/projects/list-projects","38 words"
"P1","thin_page","https://docs.oviond.com/api/projects/update-project","31 words"
"P1","thin_page","https://docs.oviond.com/api/saved-metrics/create-saved-metric","34 words"
"P1","thin_page","https://docs.oviond.com/api/saved-metrics/delete-saved-metric","33 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/saved-metrics/delete-saved-metric","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/saved-metrics/duplicate-saved-metric","33 words"
"P1","thin_page","https://docs.oviond.com/api/saved-metrics/list-saved-metrics","37 words"
"P1","thin_page","https://docs.oviond.com/api/saved-metrics/update-saved-metric","33 words"
"P1","thin_page","https://docs.oviond.com/api/search/search","37 words"
"P1","thin_page","https://docs.oviond.com/api/templates/create-template","40 words"
"P1","thin_page","https://docs.oviond.com/api/templates/delete-template","31 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/templates/delete-template","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/templates/get-template","34 words"
"P1","thin_page","https://docs.oviond.com/api/templates/list-templates","34 words"
"P1","thin_page","https://docs.oviond.com/api/templates/update-template","31 words"
"P1","thin_page","https://docs.oviond.com/api/themes/create-theme","32 words"
"P1","thin_page","https://docs.oviond.com/api/themes/delete-theme","31 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/themes/delete-theme","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/themes/get-theme","34 words"
"P1","thin_page","https://docs.oviond.com/api/themes/list-themes","34 words"
"P1","thin_page","https://docs.oviond.com/api/themes/update-theme","31 words"
"P1","thin_page","https://docs.oviond.com/api/users/change-email","34 words"
"P1","thin_page","https://docs.oviond.com/api/users/delete-user","35 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/users/delete-user","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/users/get-user","34 words"
"P1","thin_page","https://docs.oviond.com/api/users/invite-user","35 words"
"P1","thin_page","https://docs.oviond.com/api/users/list-users","36 words"
"P1","thin_page","https://docs.oviond.com/api/users/update-avatar","34 words"
"P1","thin_page","https://docs.oviond.com/api/users/update-profile","37 words"
"P1","thin_page","https://docs.oviond.com/api/users/update-user","36 words"
"P1","thin_page","https://docs.oviond.com/api/white-label/add-domain","42 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/white-label/add-domain","Vercel"
"P1","thin_page","https://docs.oviond.com/api/white-label/check-domain-status","35 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/white-label/check-domain-status","Vercel"
"P1","thin_page","https://docs.oviond.com/api/white-label/delete-domain","32 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/white-label/delete-domain","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/white-label/list-domains","35 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/white-label/list-domains","Vercel"
"P1","thin_page","https://docs.oviond.com/api/widgets/bulk-delete-widgets","34 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/widgets/bulk-delete-widgets","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/widgets/create-widgets","33 words"
"P1","thin_page","https://docs.oviond.com/api/widgets/delete-widget","34 words"
